x,y,z,tilt_axis,tilt_angle_deg,reachable,fraction,radial_distance,time_start,time_end
0.24999999999999997,-0.1,0.15,x,0.0,True,0.9,0.2025,2025-08-18 15:52:51,2025-08-18 15:52:55
0.24999999999999997,-0.1,0.15,x,10.0,True,1.0,0.2025,2025-08-18 15:52:55,2025-08-18 15:52:58
0.24999999999999997,-0.1,0.15,x,20.0,True,1.0,0.2025,2025-08-18 15:52:58,2025-08-18 15:52:59
0.24999999999999997,-0.1,0.15,x,0.0,True,1.0,0.2025,2025-08-18 15:53:00,2025-08-18 15:53:03
0.24999999999999997,-0.05,0.15,x,0.0,True,1.0,0.1831,2025-08-18 15:53:03,2025-08-18 15:53:05
0.24999999999999997,-0.05,0.15,x,10.0,True,1.0,0.1831,2025-08-18 15:53:05,2025-08-18 15:53:07
0.24999999999999997,-0.05,0.15,x,20.0,True,1.0,0.1831,2025-08-18 15:53:07,2025-08-18 15:53:10
0.24999999999999997,-0.05,0.15,x,0.0,True,1.0,0.1831,2025-08-18 15:53:11,2025-08-18 15:53:15
0.24999999999999997,0.0,0.15,x,0.0,True,1.0,0.1761,2025-08-18 15:53:15,2025-08-18 15:53:17
0.24999999999999997,0.0,0.15,x,10.0,True,1.0,0.1761,2025-08-18 15:53:17,2025-08-18 15:53:20
0.24999999999999997,0.0,0.15,x,20.0,False,-1.0,0.1761,,
0.24999999999999997,0.0,0.15,x,0.0,False,-1.0,0.1761,,
0.24999999999999997,0.05000000000000002,0.15,x,0.0,False,-1.0,0.1831,,
0.24999999999999997,0.05000000000000002,0.15,x,10.0,False,-1.0,0.1831,,
0.24999999999999997,0.05000000000000002,0.15,x,20.0,False,-1.0,0.1831,,
0.24999999999999997,0.05000000000000002,0.15,x,0.0,False,-1.0,0.1831,,
0.24999999999999997,0.1,0.15,x,0.0,False,-1.0,0.2025,,
0.24999999999999997,0.1,0.15,x,10.0,False,-1.0,0.2025,,
0.24999999999999997,0.1,0.15,x,20.0,False,-1.0,0.2025,,
0.24999999999999997,0.1,0.15,x,0.0,False,-1.0,0.2025,,
0.3,-0.1,0.15,x,0.0,False,-1.0,0.1831,,
0.3,-0.1,0.15,x,10.0,False,-1.0,0.1831,,
0.3,-0.1,0.15,x,20.0,False,-1.0,0.1831,,
0.3,-0.1,0.15,x,0.0,False,-1.0,0.1831,,
0.3,-0.05,0.15,x,0.0,False,-1.0,0.1613,,
0.3,-0.05,0.15,x,10.0,False,-1.0,0.1613,,
0.3,-0.05,0.15,x,20.0,False,-1.0,0.1613,,
0.3,-0.05,0.15,x,0.0,False,-1.0,0.1613,,
0.3,0.0,0.15,x,0.0,False,-1.0,0.1534,,
0.3,0.0,0.15,x,10.0,False,-1.0,0.1534,,
0.3,0.0,0.15,x,20.0,False,-1.0,0.1534,,
0.3,0.0,0.15,x,0.0,False,-1.0,0.1534,,
0.3,0.05000000000000002,0.15,x,0.0,False,-1.0,0.1613,,
0.3,0.05000000000000002,0.15,x,10.0,False,-1.0,0.1613,,
0.3,0.05000000000000002,0.15,x,20.0,False,-1.0,0.1613,,
0.3,0.05000000000000002,0.15,x,0.0,False,-1.0,0.1613,,
0.3,0.1,0.15,x,0.0,False,-1.0,0.1831,,
0.3,0.1,0.15,x,10.0,False,-1.0,0.1831,,
0.3,0.1,0.15,x,20.0,False,-1.0,0.1831,,
0.3,0.1,0.15,x,0.0,False,-1.0,0.1831,,
0.35,-0.1,0.15,x,0.0,False,-1.0,0.1761,,
0.35,-0.1,0.15,x,10.0,False,-1.0,0.1761,,
0.35,-0.1,0.15,x,20.0,False,-1.0,0.1761,,
0.35,-0.1,0.15,x,0.0,False,-1.0,0.1761,,
0.35,-0.05,0.15,x,0.0,False,-1.0,0.1534,,
0.35,-0.05,0.15,x,10.0,False,-1.0,0.1534,,
0.35,-0.05,0.15,x,20.0,False,-1.0,0.1534,,
0.35,-0.05,0.15,x,0.0,False,-1.0,0.1534,,
0.35,0.0,0.15,x,0.0,False,-1.0,0.145,,
0.35,0.0,0.15,x,10.0,False,-1.0,0.145,,
0.35,0.0,0.15,x,20.0,False,-1.0,0.145,,
0.35,0.0,0.15,x,0.0,False,-1.0,0.145,,
0.35,0.05000000000000002,0.15,x,0.0,False,-1.0,0.1534,,
0.35,0.05000000000000002,0.15,x,10.0,False,-1.0,0.1534,,
0.35,0.05000000000000002,0.15,x,20.0,False,-1.0,0.1534,,
0.35,0.05000000000000002,0.15,x,0.0,False,-1.0,0.1534,,
0.35,0.1,0.15,x,0.0,False,-1.0,0.1761,,
0.35,0.1,0.15,x,10.0,False,-1.0,0.1761,,
