x,y,z,reachable,fraction,radial_distance,time_start,time_end
0.38,-0.004,0.2,True,1.0,0.1973,2025-08-19 14:59:44,2025-08-19 14:59:47
0.38,-0.002,0.2,True,1.0,0.1973,2025-08-19 14:59:47,2025-08-19 14:59:48
0.38,0.0,0.2,True,1.0,0.1973,2025-08-19 14:59:48,2025-08-19 14:59:50
0.38,0.002,0.2,True,1.0,0.1973,2025-08-19 14:59:50,2025-08-19 14:59:51
0.38,0.004,0.2,True,1.0,0.1973,2025-08-19 14:59:51,2025-08-19 14:59:53
0.382,-0.004,0.2,True,1.0,0.1976,2025-08-19 14:59:53,2025-08-19 14:59:54
0.382,-0.002,0.2,True,1.0,0.1976,2025-08-19 14:59:54,2025-08-19 14:59:56
0.382,0.0,0.2,True,1.0,0.1976,2025-08-19 14:59:56,2025-08-19 14:59:57
0.382,0.002,0.2,True,1.0,0.1976,2025-08-19 14:59:57,2025-08-19 14:59:59
0.382,0.004,0.2,True,1.0,0.1976,2025-08-19 14:59:59,2025-08-19 15:00:00
0.384,-0.004,0.2,True,1.0,0.198,2025-08-19 15:00:00,2025-08-19 15:00:02
0.384,-0.002,0.2,True,1.0,0.198,2025-08-19 15:00:02,2025-08-19 15:00:03
0.384,0.0,0.2,True,1.0,0.1979,2025-08-19 15:00:03,2025-08-19 15:00:05
0.384,0.002,0.2,True,1.0,0.198,2025-08-19 15:00:05,2025-08-19 15:00:06
0.384,0.004,0.2,True,1.0,0.198,2025-08-19 15:00:06,2025-08-19 15:00:08
0.386,-0.004,0.2,True,1.0,0.1983,2025-08-19 15:00:08,2025-08-19 15:00:09
0.386,-0.002,0.2,True,1.0,0.1983,2025-08-19 15:00:09,2025-08-19 15:00:11
0.386,0.0,0.2,True,1.0,0.1983,2025-08-19 15:00:11,2025-08-19 15:00:12
0.386,0.002,0.2,True,1.0,0.1983,2025-08-19 15:00:12,2025-08-19 15:00:14
0.386,0.004,0.2,True,1.0,0.1983,2025-08-19 15:00:14,2025-08-19 15:00:15
0.388,-0.004,0.2,True,1.0,0.1987,2025-08-19 15:00:15,2025-08-19 15:00:17
0.388,-0.002,0.2,True,1.0,0.1987,2025-08-19 15:00:17,2025-08-19 15:00:19
0.388,0.0,0.2,True,1.0,0.1987,2025-08-19 15:00:19,2025-08-19 15:00:20
0.388,0.002,0.2,True,1.0,0.1987,2025-08-19 15:00:20,2025-08-19 15:00:22
0.388,0.004,0.2,True,1.0,0.1987,2025-08-19 15:00:22,2025-08-19 15:00:23
