x,y,z,reachable,fraction,radial_distance,t_start,t_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.001,True,1.0,0.001,2025-09-08 15:22:38.474,2025-09-08 15:22:48.476,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y0mm/raster_log_2025-09-08 15:15:44.722_z1mm_x350mm_y0mm_ocr.csv,40,"2856, 2856, 3123, 3149, 3149, 3149, 3149, 3118, 3159, 3159, 3156, 3156, 3115, 3191, 3191, 3139, 3139, 3142, 3140, 3140, 3106, 3106, 3088, 3067, 3067, 3089, 3089, 3132",3111.43,28,"15:22:40, 15:22:40, 15:22:40, 15:22:40, 15:22:41, 15:22:41, 15:22:41, 15:22:41, 15:22:42, 15:22:42, 15:22:42, 15:22:42, 15:22:43, 15:22:43, 15:22:43, 15:22:43, 15:22:44, 15:22:44, 15:22:44, 15:22:44, 15:22:45, 15:22:45, 15:22:45, 15:22:45, 15:22:46, 15:22:46, 15:22:46, 15:22:46"
0.35,0.005,0.001,True,1.0,0.0051,2025-09-08 15:22:50.607,2025-09-08 15:23:00.608,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 15:15:44.722_z1mm_x350mm_y5mm_ocr.csv,40,"1625, 1625, 1528, 1528, 1554, 1527, 1527, 1554, 1554, 1575, 1575, 1514, 1500, 1500, 1513, 1513, 1517, 1477, 1477, 1429, 1429, 1408, 1451, 1451, 1497, 1497, 1473, 1473",1510.39,28,"15:22:52, 15:22:52, 15:22:52, 15:22:52, 15:22:53, 15:22:53, 15:22:53, 15:22:53, 15:22:54, 15:22:54, 15:22:54, 15:22:54, 15:22:55, 15:22:55, 15:22:55, 15:22:55, 15:22:56, 15:22:56, 15:22:56, 15:22:56, 15:22:57, 15:22:57, 15:22:57, 15:22:57, 15:22:58, 15:22:58, 15:22:58, 15:22:58"
0.35,0.01,0.001,True,1.0,0.01,2025-09-08 15:23:02.674,2025-09-08 15:23:12.676,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y10mm/raster_log_2025-09-08 15:15:44.722_z1mm_x350mm_y10mm_ocr.csv,40,"4117, 2, 2, 3, 3, 3, 1, 1, 1, 1, 2, 5, 5, 5, 5, 3, 1, 1, 1, 1, 0, 0, 0, 0, 3, 3, 3, 3",149.11,28,"15:23:04, 15:23:04, 15:23:04, 15:23:04, 15:23:05, 15:23:05, 15:23:05, 15:23:05, 15:23:06, 15:23:06, 15:23:06, 15:23:06, 15:23:07, 15:23:07, 15:23:07, 15:23:07, 15:23:08, 15:23:08, 15:23:08, 15:23:08, 15:23:09, 15:23:09, 15:23:09, 15:23:09, 15:23:10, 15:23:10, 15:23:10, 15:23:10"
0.35,0.015,0.001,True,1.0,0.015,2025-09-08 15:23:14.807,2025-09-08 15:23:24.808,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y15mm/raster_log_2025-09-08 15:15:44.722_z1mm_x350mm_y15mm_ocr.csv,40,"0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 1, 1, 0, 0, 0, 0, 0",0.86,28,"15:23:16, 15:23:16, 15:23:16, 15:23:17, 15:23:17, 15:23:17, 15:23:17, 15:23:18, 15:23:18, 15:23:18, 15:23:18, 15:23:19, 15:23:19, 15:23:19, 15:23:19, 15:23:20, 15:23:20, 15:23:20, 15:23:20, 15:23:21, 15:23:21, 15:23:21, 15:23:21, 15:23:22, 15:23:22, 15:23:22, 15:23:22, 15:23:23"
0.355,0.015,0.001,True,1.0,0.0158,2025-09-08 15:23:26.874,2025-09-08 15:23:36.875,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x355mm_y15mm/raster_log_2025-09-08 15:15:44.722_z1mm_x355mm_y15mm_ocr.csv,40,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 4, 1, 2, 2, 2, 3, 3, 0",0.68,28,"15:23:28, 15:23:28, 15:23:28, 15:23:29, 15:23:29, 15:23:29, 15:23:29, 15:23:30, 15:23:30, 15:23:30, 15:23:30, 15:23:31, 15:23:31, 15:23:31, 15:23:31, 15:23:32, 15:23:32, 15:23:32, 15:23:32, 15:23:33, 15:23:33, 15:23:33, 15:23:33, 15:23:34, 15:23:34, 15:23:34, 15:23:34, 15:23:35"
0.355,0.01,0.001,True,1.0,0.0112,2025-09-08 15:23:38.907,2025-09-08 15:23:48.909,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x355mm_y10mm/raster_log_2025-09-08 15:15:44.722_z1mm_x355mm_y10mm_ocr.csv,40,"0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 2, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1",1.11,28,"15:23:40, 15:23:40, 15:23:40, 15:23:41, 15:23:41, 15:23:41, 15:23:41, 15:23:42, 15:23:42, 15:23:42, 15:23:42, 15:23:43, 15:23:43, 15:23:43, 15:23:43, 15:23:44, 15:23:44, 15:23:44, 15:23:44, 15:23:45, 15:23:45, 15:23:45, 15:23:45, 15:23:46, 15:23:46, 15:23:46, 15:23:46, 15:23:47"
0.355,0.005,0.001,True,1.0,0.0071,2025-09-08 15:23:50.940,2025-09-08 15:24:00.942,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x355mm_y5mm/raster_log_2025-09-08 15:15:44.722_z1mm_x355mm_y5mm_ocr.csv,40,"192, 32, 32, 32, 295, 38, 38, 38, 38, 44, 44, 32, 26, 26, 25, 25, 37, 31, 31, 40, 40, 42, 37, 37, 295, 295, 32, 32",68.07,28,"15:23:52, 15:23:52, 15:23:52, 15:23:53, 15:23:53, 15:23:53, 15:23:53, 15:23:54, 15:23:54, 15:23:54, 15:23:55, 15:23:55, 15:23:55, 15:23:55, 15:23:56, 15:23:56, 15:23:56, 15:23:56, 15:23:57, 15:23:57, 15:23:57, 15:23:57, 15:23:58, 15:23:58, 15:23:58, 15:23:58, 15:23:59, 15:23:59"
0.355,0.0,0.001,True,1.0,0.0051,2025-09-08 15:24:03.074,2025-09-08 15:24:13.075,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x355mm_y0mm/raster_log_2025-09-08 15:15:44.722_z1mm_x355mm_y0mm_ocr.csv,40,"877, 890, 864, 864, 864, 864, 851, 886, 886, 894, 894, 877, 877, 860, 876, 876, 931, 931, 877, 877, 877, 860, 860, 866, 919, 919, 942, 942",885.75,28,"15:24:04, 15:24:04, 15:24:05, 15:24:05, 15:24:05, 15:24:05, 15:24:06, 15:24:06, 15:24:06, 15:24:06, 15:24:07, 15:24:07, 15:24:07, 15:24:07, 15:24:08, 15:24:08, 15:24:08, 15:24:08, 15:24:09, 15:24:09, 15:24:09, 15:24:09, 15:24:10, 15:24:10, 15:24:10, 15:24:10, 15:24:11, 15:24:11"
0.36,0.0,0.001,True,1.0,0.01,2025-09-08 15:24:15.068,2025-09-08 15:24:25.068,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x360mm_y0mm/raster_log_2025-09-08 15:15:44.722_z1mm_x360mm_y0mm_ocr.csv,40,"8, 8, 3, 3, 3, 6, 6, 6, 3, 3, 3, 7, 7, 4, 4, 2, 2, 0, 0, 0, 0, 0, 1, 2, 2, 5, 5, 3",3.43,28,"15:24:16, 15:24:16, 15:24:17, 15:24:17, 15:24:17, 15:24:17, 15:24:18, 15:24:18, 15:24:18, 15:24:18, 15:24:19, 15:24:19, 15:24:19, 15:24:19, 15:24:20, 15:24:20, 15:24:20, 15:24:20, 15:24:21, 15:24:21, 15:24:21, 15:24:21, 15:24:22, 15:24:22, 15:24:22, 15:24:22, 15:24:23, 15:24:23"
0.36,0.005,0.001,True,1.0,0.0112,2025-09-08 15:24:27.083,2025-09-08 15:24:37.085,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x360mm_y5mm/raster_log_2025-09-08 15:15:44.722_z1mm_x360mm_y5mm_ocr.csv,40,"2, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 1, 0, 0, 1, 1, 1, 1, 1, 3, 3, 3, 1, 1, 0, 1",1.04,28,"15:24:28, 15:24:28, 15:24:29, 15:24:29, 15:24:29, 15:24:29, 15:24:30, 15:24:30, 15:24:30, 15:24:30, 15:24:31, 15:24:31, 15:24:31, 15:24:31, 15:24:32, 15:24:32, 15:24:32, 15:24:32, 15:24:33, 15:24:33, 15:24:33, 15:24:33, 15:24:34, 15:24:34, 15:24:34, 15:24:34, 15:24:35, 15:24:35"
