x,y,z,reachable,fraction,radial_distance,t_start,t_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.001,True,1.0,0.001,2025-09-08 15:34:09.155,2025-09-08 15:34:19.157,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y0mm_ocr.csv,40,"2569, 3189, 3189, 3189, 3181, 3181, 3185, 3183, 3183, 3154, 3154, 3200, 3215, 3215, 3180, 3180, 3077, 3101, 3101, 3122, 3122, 3128, 3175, 3175, 3170, 3170, 3256, 3256",3150.00,28,"15:34:10, 15:34:10, 15:34:11, 15:34:11, 15:34:11, 15:34:11, 15:34:12, 15:34:12, 15:34:12, 15:34:12, 15:34:13, 15:34:13, 15:34:13, 15:34:13, 15:34:14, 15:34:14, 15:34:14, 15:34:14, 15:34:15, 15:34:15, 15:34:15, 15:34:15, 15:34:16, 15:34:16, 15:34:16, 15:34:16, 15:34:17, 15:34:17"
0.35,0.003,0.001,True,1.0,0.0032,2025-09-08 15:34:21.188,2025-09-08 15:34:31.189,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y3mm_ocr.csv,40,"2659, 2989, 2989, 3052, 3052, 3022, 3022, 2952, 2978, 2978, 2947, 2947, 2968, 2979, 2979, 3040, 3040, 2960, 2943, 2943, 2961, 2961, 2979, 2979, 2923, 2923, 2999, 2999",2970.11,28,"15:34:22, 15:34:22, 15:34:23, 15:34:23, 15:34:23, 15:34:24, 15:34:24, 15:34:24, 15:34:24, 15:34:24, 15:34:25, 15:34:25, 15:34:25, 15:34:25, 15:34:26, 15:34:26, 15:34:26, 15:34:26, 15:34:27, 15:34:27, 15:34:27, 15:34:28, 15:34:28, 15:34:28, 15:34:28, 15:34:28, 15:34:29, 15:34:29"
0.35,0.006,0.001,True,1.0,0.0061,2025-09-08 15:34:33.254,2025-09-08 15:34:43.256,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y6mm_ocr.csv,40,"963, 866, 867, 867, 871, 871, 867, 865, 865, 820, 820, 820, 820, 833, 833, 833, 828, 804, 804, 822, 822, 830, 808, 808, 811, 811, 836, 861",840.21,28,"15:34:34, 15:34:35, 15:34:35, 15:34:35, 15:34:35, 15:34:36, 15:34:36, 15:34:36, 15:34:36, 15:34:37, 15:34:37, 15:34:37, 15:34:37, 15:34:38, 15:34:38, 15:34:38, 15:34:38, 15:34:39, 15:34:39, 15:34:39, 15:34:39, 15:34:40, 15:34:40, 15:34:40, 15:34:40, 15:34:41, 15:34:41, 15:34:41"
0.35,0.009000000000000001,0.001,True,1.0,0.0091,2025-09-08 15:34:45.321,2025-09-08 15:34:55.322,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y9mm_ocr.csv,40,"11, 10, 10, 12, 125, 10, 7, 7, 5, 5, 7, 125, 12, 135, 13, 7, 4, 4, 3, 3, 4, 5, 5, 3, 3, 5, 5, 5",19.64,28,"15:34:46, 15:34:47, 15:34:47, 15:34:47, 15:34:47, 15:34:48, 15:34:48, 15:34:48, 15:34:48, 15:34:49, 15:34:49, 15:34:49, 15:34:49, 15:34:50, 15:34:50, 15:34:50, 15:34:50, 15:34:51, 15:34:51, 15:34:51, 15:34:51, 15:34:52, 15:34:52, 15:34:52, 15:34:52, 15:34:53, 15:34:53, 15:34:53"
0.35,0.012,0.001,True,1.0,0.012,2025-09-08 15:34:57.388,2025-09-08 15:35:07.390,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y12mm_ocr.csv,40,"4, 4, 2, 1, 1, 0, 0, 0, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1",0.93,28,"15:34:58, 15:34:59, 15:34:59, 15:34:59, 15:34:59, 15:35:00, 15:35:00, 15:35:00, 15:35:00, 15:35:01, 15:35:01, 15:35:01, 15:35:01, 15:35:02, 15:35:02, 15:35:02, 15:35:02, 15:35:03, 15:35:03, 15:35:03, 15:35:03, 15:35:04, 15:35:04, 15:35:04, 15:35:04, 15:35:05, 15:35:05, 15:35:05"
0.35,0.015,0.001,True,1.0,0.015,2025-09-08 15:35:09.455,2025-09-08 15:35:19.456,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x350mm_y15mm_ocr.csv,40,"2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.50,28,"15:35:11, 15:35:11, 15:35:11, 15:35:11, 15:35:12, 15:35:12, 15:35:12, 15:35:12, 15:35:13, 15:35:13, 15:35:13, 15:35:13, 15:35:14, 15:35:14, 15:35:14, 15:35:14, 15:35:15, 15:35:15, 15:35:15, 15:35:15, 15:35:16, 15:35:16, 15:35:16, 15:35:16, 15:35:17, 15:35:17, 15:35:17, 15:35:17"
0.353,0.015,0.001,True,1.0,0.0153,2025-09-08 15:35:21.521,2025-09-08 15:35:31.522,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y15mm_ocr.csv,40,"3, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 1, 1, 1, 2",0.71,28,"15:35:23, 15:35:23, 15:35:23, 15:35:23, 15:35:24, 15:35:24, 15:35:24, 15:35:24, 15:35:25, 15:35:25, 15:35:25, 15:35:25, 15:35:26, 15:35:26, 15:35:26, 15:35:26, 15:35:27, 15:35:27, 15:35:27, 15:35:27, 15:35:28, 15:35:28, 15:35:28, 15:35:28, 15:35:29, 15:35:29, 15:35:29, 15:35:29"
0.353,0.012,0.001,True,1.0,0.0124,2025-09-08 15:35:33.554,2025-09-08 15:35:43.556,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y12mm_ocr.csv,40,"19, 0, 0, 0, 1, 1, 3, 3, 3, 2, 2, 4, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1",1.57,28,"15:35:35, 15:35:35, 15:35:35, 15:35:35, 15:35:36, 15:35:36, 15:35:36, 15:35:36, 15:35:37, 15:35:37, 15:35:37, 15:35:37, 15:35:38, 15:35:38, 15:35:38, 15:35:38, 15:35:39, 15:35:39, 15:35:39, 15:35:39, 15:35:40, 15:35:40, 15:35:40, 15:35:40, 15:35:41, 15:35:41, 15:35:41, 15:35:41"
0.353,0.009000000000000001,0.001,True,1.0,0.0095,2025-09-08 15:35:45.588,2025-09-08 15:35:55.597,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y9mm_ocr.csv,40,"9, 7, 7, 5, 5, 2, 4, 4, 4, 4, 6, 8, 8, 6, 6, 6, 3, 3, 2, 2, 3, 3, 3, 6, 6, 6, 7, 7",5.07,28,"15:35:47, 15:35:47, 15:35:47, 15:35:47, 15:35:48, 15:35:48, 15:35:48, 15:35:48, 15:35:49, 15:35:49, 15:35:49, 15:35:49, 15:35:50, 15:35:50, 15:35:50, 15:35:50, 15:35:51, 15:35:51, 15:35:51, 15:35:51, 15:35:52, 15:35:52, 15:35:52, 15:35:52, 15:35:53, 15:35:53, 15:35:53, 15:35:53"
0.353,0.006,0.001,True,1.0,0.0068,2025-09-08 15:35:57.654,2025-09-08 15:36:07.655,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x353mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x353mm_y6mm_ocr.csv,40,"193, 193, 194, 217, 217, 213, 213, 206, 188, 188, 201, 201, 198, 198, 182, 187, 187, 195, 195, 208, 208, 208, 204, 204, 194, 176, 176, 191",197.68,28,"15:35:59, 15:35:59, 15:35:59, 15:35:59, 15:36:00, 15:36:00, 15:36:00, 15:36:00, 15:36:01, 15:36:01, 15:36:01, 15:36:01, 15:36:02, 15:36:02, 15:36:02, 15:36:02, 15:36:03, 15:36:03, 15:36:03, 15:36:03, 15:36:04, 15:36:04, 15:36:04, 15:36:04, 15:36:05, 15:36:05, 15:36:05, 15:36:05"
