x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.01,True,1.0,0.01,2025-09-08 16:02:43.171,2025-09-08 16:02:53.125,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y0mm/raster_log_2025-09-08 15:56:00.688_z10mm_x350mm_y0mm_ocr.csv,18,"1073, 1052, 1026, 1033, 1016, 1062, 1129, 1125, 1112, 1068",1069.60,10,"16:02:46, 16:02:46, 16:02:47, 16:02:47, 16:02:48, 16:02:48, 16:02:49, 16:02:49, 16:02:50, 16:02:50"
0.35,0.005,0.01,True,1.0,0.01118,2025-09-08 16:02:53.128,2025-09-08 16:03:02.689,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y5mm/raster_log_2025-09-08 15:56:00.688_z10mm_x350mm_y5mm_ocr.csv,18,"998, 1059, 1047, 1012, 992, 993, 1038, 984, 982, 1013",1011.80,10,"16:02:55, 16:02:56, 16:02:56, 16:02:57, 16:02:57, 16:02:58, 16:02:58, 16:02:59, 16:02:59, 16:03:00"
0.35,0.01,0.01,True,1.0,0.01414,2025-09-08 16:03:02.693,2025-09-08 16:03:12.257,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z10mm_x350mm_y10mm_ocr.csv,18,"384, 378, 372, 379, 377, 349, 333, 333, 332, 356",359.30,10,"16:03:05, 16:03:05, 16:03:06, 16:03:06, 16:03:07, 16:03:07, 16:03:08, 16:03:08, 16:03:09, 16:03:09"
0.35,0.015,0.01,True,1.0,0.01803,2025-09-08 16:03:12.260,2025-09-08 16:03:21.824,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y15mm/raster_log_2025-09-08 15:56:00.688_z10mm_x350mm_y15mm_ocr.csv,18,"22, 15, 18, 30, 31, 19, 19, 20, 20, 17",21.10,10,"16:03:14, 16:03:15, 16:03:15, 16:03:16, 16:03:16, 16:03:17, 16:03:17, 16:03:18, 16:03:18, 16:03:19"
0.35,0.02,0.01,True,1.0,0.02236,2025-09-08 16:03:21.827,2025-09-08 16:03:31.390,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y20mm/raster_log_2025-09-08 15:56:00.688_z10mm_x350mm_y20mm_ocr.csv,18,"2, 1, 0, 0, 2, 1, 1, 0, 0, 1",0.80,10,"16:03:24, 16:03:24, 16:03:25, 16:03:25, 16:03:26, 16:03:26, 16:03:27, 16:03:27, 16:03:28, 16:03:28"
0.35,0.025,0.01,True,1.0,0.02693,2025-09-08 16:03:31.394,2025-09-08 16:03:40.955,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x350mm_y25mm/raster_log_2025-09-08 15:56:00.688_z10mm_x350mm_y25mm_ocr.csv,18,"1, 0, 0, 0, 0, 1, 1, 0, 1, 1",0.50,10,"16:03:34, 16:03:34, 16:03:35, 16:03:35, 16:03:36, 16:03:36, 16:03:37, 16:03:37, 16:03:38, 16:03:38"
0.355,0.025,0.01,True,1.0,0.02739,2025-09-08 16:03:40.958,2025-09-08 16:03:50.524,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x355mm_y25mm/raster_log_2025-09-08 15:56:00.688_z10mm_x355mm_y25mm_ocr.csv,18,"0, 2, 1, 0, 0, 0, 0, 0, 0, 0",0.30,10,"16:03:43, 16:03:44, 16:03:44, 16:03:45, 16:03:45, 16:03:46, 16:03:46, 16:03:47, 16:03:47, 16:03:48"
0.355,0.02,0.01,True,1.0,0.02291,2025-09-08 16:03:50.526,2025-09-08 16:04:00.056,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x355mm_y20mm/raster_log_2025-09-08 15:56:00.688_z10mm_x355mm_y20mm_ocr.csv,18,"0, 0, 1, 2, 2, 0, 0, 0, 0, 1",0.60,10,"16:03:53, 16:03:53, 16:03:54, 16:03:54, 16:03:55, 16:03:55, 16:03:56, 16:03:56, 16:03:57, 16:03:57"
0.355,0.015,0.01,True,1.0,0.01871,2025-09-08 16:04:00.060,2025-09-08 16:04:09.624,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x355mm_y15mm/raster_log_2025-09-08 15:56:00.688_z10mm_x355mm_y15mm_ocr.csv,18,"7, 8, 5, 7, 8, 7, 4, 4, 6, 9",6.50,10,"16:04:02, 16:04:03, 16:04:03, 16:04:04, 16:04:04, 16:04:05, 16:04:05, 16:04:06, 16:04:06, 16:04:07"
0.355,0.01,0.01,True,1.0,0.015,2025-09-08 16:04:09.628,2025-09-08 16:04:19.189,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x355mm_y10mm/raster_log_2025-09-08 15:56:00.688_z10mm_x355mm_y10mm_ocr.csv,18,"167, 164, 164, 162, 197, 191, 177, 166, 163, 166",171.70,10,"16:04:12, 16:04:12, 16:04:13, 16:04:13, 16:04:14, 16:04:14, 16:04:15, 16:04:15, 16:04:16, 16:04:16"
0.355,0.005,0.01,True,1.0,0.01225,2025-09-08 16:04:19.193,2025-09-08 16:04:28.757,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z10mm/x355mm_y5mm/raster_log_2025-09-08 15:56:00.688_z10mm_x355mm_y5mm_ocr.csv,18,"468, 647, 673, 636, 628, 617, 633, 639, 635, 624",620.00,10,"16:04:21, 16:04:22, 16:04:22, 16:04:23, 16:04:23, 16:04:24, 16:04:24, 16:04:25, 16:04:25, 16:04:26"
