x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.35,0.0,0.005,True,1.0,0.005,2025-09-08 15:56:02.728,2025-09-08 15:56:14.357,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y0mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y0mm_ocr.csv,18
0.35,0.005,0.005,True,1.0,0.00707,2025-09-08 15:56:14.360,2025-09-08 15:56:23.921,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y5mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y5mm_ocr.csv,18
0.35,0.01,0.005,True,1.0,0.01118,2025-09-08 15:56:23.925,2025-09-08 15:56:33.489,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y10mm_ocr.csv,18
0.35,0.015,0.005,True,1.0,0.01581,2025-09-08 15:56:33.491,2025-09-08 15:56:43.057,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y15mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y15mm_ocr.csv,18
0.35,0.02,0.005,True,1.0,0.02062,2025-09-08 15:56:43.060,2025-09-08 15:56:52.624,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y20mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y20mm_ocr.csv,18
0.35,0.025,0.005,True,1.0,0.0255,2025-09-08 15:56:52.630,2025-09-08 15:57:02.190,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y25mm/raster_log_2025-09-08 15:56:00.688_z5mm_x350mm_y25mm_ocr.csv,18
0.355,0.025,0.005,True,1.0,0.02598,2025-09-08 15:57:02.195,2025-09-08 15:57:11.755,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x355mm_y25mm/raster_log_2025-09-08 15:56:00.688_z5mm_x355mm_y25mm_ocr.csv,18
0.355,0.02,0.005,True,1.0,0.02121,2025-09-08 15:57:11.759,2025-09-08 15:57:21.324,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x355mm_y20mm/raster_log_2025-09-08 15:56:00.688_z5mm_x355mm_y20mm_ocr.csv,18
0.355,0.015,0.005,True,1.0,0.01658,2025-09-08 15:57:21.328,2025-09-08 15:57:30.890,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x355mm_y15mm/raster_log_2025-09-08 15:56:00.688_z5mm_x355mm_y15mm_ocr.csv,18
0.355,0.01,0.005,True,1.0,0.01225,2025-09-08 15:57:30.893,2025-09-08 15:57:40.455,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x355mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x355mm_y10mm_ocr.csv,18
0.355,0.005,0.005,True,1.0,0.00866,2025-09-08 15:57:40.458,2025-09-08 15:57:50.024,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x355mm_y5mm/raster_log_2025-09-08 15:56:00.688_z5mm_x355mm_y5mm_ocr.csv,18
0.355,0.0,0.005,True,1.0,0.00707,2025-09-08 15:57:50.029,2025-09-08 15:57:59.589,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x355mm_y0mm/raster_log_2025-09-08 15:56:00.688_z5mm_x355mm_y0mm_ocr.csv,18
0.36,0.0,0.005,True,1.0,0.01118,2025-09-08 15:57:59.594,2025-09-08 15:58:09.157,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x360mm_y0mm/raster_log_2025-09-08 15:56:00.688_z5mm_x360mm_y0mm_ocr.csv,18
0.36,0.005,0.005,True,1.0,0.01225,2025-09-08 15:58:09.160,2025-09-08 15:58:18.722,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x360mm_y5mm/raster_log_2025-09-08 15:56:00.688_z5mm_x360mm_y5mm_ocr.csv,18
0.36,0.01,0.005,True,1.0,0.015,2025-09-08 15:58:18.725,2025-09-08 15:58:28.289,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x360mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x360mm_y10mm_ocr.csv,18
0.36,0.015,0.005,True,1.0,0.01871,2025-09-08 15:58:28.293,2025-09-08 15:58:37.857,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x360mm_y15mm/raster_log_2025-09-08 15:56:00.688_z5mm_x360mm_y15mm_ocr.csv,18
0.36,0.02,0.005,True,1.0,0.02291,2025-09-08 15:58:37.860,2025-09-08 15:58:47.423,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x360mm_y20mm/raster_log_2025-09-08 15:56:00.688_z5mm_x360mm_y20mm_ocr.csv,18
0.36,0.025,0.005,True,1.0,0.02739,2025-09-08 15:58:47.426,2025-09-08 15:58:56.990,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x360mm_y25mm/raster_log_2025-09-08 15:56:00.688_z5mm_x360mm_y25mm_ocr.csv,18
0.365,0.025,0.005,True,1.0,0.02958,2025-09-08 15:58:56.995,2025-09-08 15:59:06.557,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x365mm_y25mm/raster_log_2025-09-08 15:56:00.688_z5mm_x365mm_y25mm_ocr.csv,18
0.365,0.02,0.005,True,1.0,0.0255,2025-09-08 15:59:06.561,2025-09-08 15:59:16.124,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x365mm_y20mm/raster_log_2025-09-08 15:56:00.688_z5mm_x365mm_y20mm_ocr.csv,18
0.365,0.015,0.005,True,1.0,0.02179,2025-09-08 15:59:16.127,2025-09-08 15:59:25.690,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x365mm_y15mm/raster_log_2025-09-08 15:56:00.688_z5mm_x365mm_y15mm_ocr.csv,18
0.365,0.01,0.005,True,1.0,0.01871,2025-09-08 15:59:25.695,2025-09-08 15:59:35.257,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x365mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x365mm_y10mm_ocr.csv,18
0.365,0.005,0.005,True,1.0,0.01658,2025-09-08 15:59:35.261,2025-09-08 15:59:44.824,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x365mm_y5mm/raster_log_2025-09-08 15:56:00.688_z5mm_x365mm_y5mm_ocr.csv,18
0.365,0.0,0.005,True,1.0,0.01581,2025-09-08 15:59:44.826,2025-09-08 15:59:54.357,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x365mm_y0mm/raster_log_2025-09-08 15:56:00.688_z5mm_x365mm_y0mm_ocr.csv,18
0.37,0.0,0.005,True,1.0,0.02062,2025-09-08 15:59:54.360,2025-09-08 16:00:03.924,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y0mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y0mm_ocr.csv,18
0.37,0.005,0.005,True,1.0,0.02121,2025-09-08 16:00:03.927,2025-09-08 16:00:13.490,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y5mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y5mm_ocr.csv,18
0.37,0.01,0.005,True,1.0,0.02291,2025-09-08 16:00:13.493,2025-09-08 16:00:23.057,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y10mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y10mm_ocr.csv,18
0.37,0.015,0.005,True,1.0,0.0255,2025-09-08 16:00:23.060,2025-09-08 16:00:32.622,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y15mm/raster_log_2025-09-08 15:56:00.688_z5mm_x370mm_y15mm_ocr.csv,18
