x,y,z,reachable,fraction,radial_distance,t_start,t_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.001,True,1.0,0.001,2025-09-08 14:23:38.390,2025-09-08 14:23:46.391,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y0mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y0mm_ocr.csv,16,"1560, 2620, 3139, 3193, 3092, 3092, 3148, 3146, 3056, 3072, 3056, 3110",2940.33,12,"14:23:39, 14:23:39, 14:23:40, 14:23:40, 14:23:41, 14:23:41, 14:23:42, 14:23:42, 14:23:43, 14:23:43, 14:23:44, 14:23:44"
0.35,0.005,0.001,True,1.0,0.0051,2025-09-08 14:23:48.406,2025-09-08 14:23:56.409,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_ocr.csv,16,"1337, 1892, 1973, 1969, 2007, 2024, 2054, 2099, 2105, 2102, 2061, 2073",1974.67,12,"14:23:49, 14:23:49, 14:23:50, 14:23:50, 14:23:51, 14:23:51, 14:23:52, 14:23:52, 14:23:53, 14:23:53, 14:23:54, 14:23:54"
0.35,0.01,0.001,True,1.0,0.01,2025-09-08 14:23:58.540,2025-09-08 14:24:06.542,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y10mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y10mm_ocr.csv,16,"156, 2, 1, 0, 1, 1, 0, 2, 4, 4, 2, 1",14.50,12,"14:23:59, 14:24:00, 14:24:00, 14:24:01, 14:24:01, 14:24:02, 14:24:02, 14:24:03, 14:24:03, 14:24:04, 14:24:04, 14:24:05"
0.35,0.015,0.001,True,1.0,0.015,2025-09-08 14:24:08.673,2025-09-08 14:24:16.675,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y15mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y15mm_ocr.csv,16,"16, 0, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1",1.92,12,"14:24:09, 14:24:10, 14:24:10, 14:24:11, 14:24:11, 14:24:12, 14:24:12, 14:24:13, 14:24:13, 14:24:14, 14:24:14, 14:24:15"
0.355,0.015,0.001,True,1.0,0.0158,2025-09-08 14:24:18.806,2025-09-08 14:24:26.809,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x355mm_y15mm/raster_log_2025-09-08 14:23:33.694_z1mm_x355mm_y15mm_ocr.csv,16,"86, 2, 2, 2, 0, 1, 2, 1, 1, 0, 0, 1",8.17,12,"14:24:19, 14:24:20, 14:24:20, 14:24:21, 14:24:21, 14:24:22, 14:24:22, 14:24:23, 14:24:23, 14:24:24, 14:24:24, 14:24:25"
0.355,0.01,0.001,True,1.0,0.0112,2025-09-08 14:24:28.839,2025-09-08 14:24:36.842,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x355mm_y10mm/raster_log_2025-09-08 14:23:33.694_z1mm_x355mm_y10mm_ocr.csv,16,"51, 1, 1, 2, 2, 1, 0, 0, 1, 1, 2, 2",5.33,12,"14:24:29, 14:24:30, 14:24:30, 14:24:31, 14:24:31, 14:24:32, 14:24:32, 14:24:33, 14:24:33, 14:24:34, 14:24:34, 14:24:35"
0.355,0.005,0.001,True,1.0,0.0071,2025-09-08 14:24:38.873,2025-09-08 14:24:46.874,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x355mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x355mm_y5mm_ocr.csv,16,"350, 141, 113, 103, 90, 95, 103, 105, 99, 87, 101, 113",125.00,12,"14:24:39, 14:24:40, 14:24:40, 14:24:41, 14:24:41, 14:24:42, 14:24:42, 14:24:43, 14:24:43, 14:24:44, 14:24:44, 14:24:45"
0.355,0.0,0.001,True,1.0,0.0051,2025-09-08 14:24:48.906,2025-09-08 14:24:56.917,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x355mm_y0mm/raster_log_2025-09-08 14:23:33.694_z1mm_x355mm_y0mm_ocr.csv,16,"1107, 1118, 1098, 1044, 1046, 1072, 1072, 1108, 1116, 1098, 1091, 1005",1081.25,12,"14:24:49, 14:24:50, 14:24:50, 14:24:51, 14:24:51, 14:24:52, 14:24:52, 14:24:53, 14:24:53, 14:24:54, 14:24:54, 14:24:55"
0.36,0.0,0.001,True,1.0,0.01,2025-09-08 14:24:59.039,2025-09-08 14:25:07.042,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x360mm_y0mm/raster_log_2025-09-08 14:23:33.694_z1mm_x360mm_y0mm_ocr.csv,16,"50, 6, 6, 5, 2, 3, 3, 2, 2, 2, 2, 4",7.25,12,"14:25:00, 14:25:00, 14:25:01, 14:25:01, 14:25:02, 14:25:02, 14:25:03, 14:25:03, 14:25:04, 14:25:04, 14:25:05, 14:25:05"
0.36,0.005,0.001,True,1.0,0.0112,2025-09-08 14:25:09.106,2025-09-08 14:25:17.107,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x360mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x360mm_y5mm_ocr.csv,16,"60, 4, 0, 1, 2, 2, 0, 0, 1, 0, 1, 3",6.17,12,"14:25:10, 14:25:10, 14:25:11, 14:25:11, 14:25:12, 14:25:12, 14:25:13, 14:25:13, 14:25:14, 14:25:14, 14:25:15, 14:25:15"
0.36,0.01,0.001,True,1.0,0.0142,2025-09-08 14:25:19.173,2025-09-08 14:25:27.175,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x360mm_y10mm/raster_log_2025-09-08 14:23:33.694_z1mm_x360mm_y10mm_ocr.csv,16,"36, 1, 1, 1, 0, 2, 1, 1, 2, 0, 1, 2",4.00,12,"14:25:20, 14:25:20, 14:25:21, 14:25:21, 14:25:22, 14:25:22, 14:25:23, 14:25:23, 14:25:24, 14:25:24, 14:25:25, 14:25:25"
0.36,0.015,0.001,True,1.0,0.0181,2025-09-08 14:25:29.306,2025-09-08 14:25:37.307,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x360mm_y15mm/raster_log_2025-09-08 14:23:33.694_z1mm_x360mm_y15mm_ocr.csv,16,"27, 2, 2, 2, 2, 0, 0, 0, 0, 0, 0, 0",2.92,12,"14:25:30, 14:25:30, 14:25:31, 14:25:31, 14:25:32, 14:25:32, 14:25:33, 14:25:33, 14:25:34, 14:25:34, 14:25:35, 14:25:35"
