idx,t_iso,elapsed_s,ocr_text,extracted_number,img_path
1,2025-09-08T14:23:48.468623,0.0,346,346,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-48.467_000.png
2,2025-09-08T14:23:48.969772,0.502,636,636,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-48.969_001.png
3,2025-09-08T14:23:49.473708,1.002,1337,1337,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-49.473_002.png
4,2025-09-08T14:23:49.970996,1.5,1892,1892,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-49.970_003.png
5,2025-09-08T14:23:50.474653,2.0,1973,1973,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-50.474_004.png
6,2025-09-08T14:23:50.968212,2.502,1969,1969,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-50.967_005.png
7,2025-09-08T14:23:51.465697,3.002,2007,2007,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-51.465_006.png
8,2025-09-08T14:23:51.971502,3.502,2024,2024,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-51.970_007.png
9,2025-09-08T14:23:52.465213,4.001,2054,2054,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-52.464_008.png
10,2025-09-08T14:23:52.967312,4.502,2099,2099,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-52.966_009.png
11,2025-09-08T14:23:53.470791,5.002,2105,2105,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-53.469_010.png
12,2025-09-08T14:23:53.974324,5.502,2102,2102,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-53.973_011.png
13,2025-09-08T14:23:54.467525,6.001,2061,2061,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-54.466_012.png
14,2025-09-08T14:23:54.965422,6.502,2073,2073,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-54.964_013.png
15,2025-09-08T14:23:55.469168,7.002,2053,2053,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-55.468_014.png
16,2025-09-08T14:23:55.971753,7.5,2108,2108,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x350mm_y5mm/raster_log_2025-09-08 14:23:33.694_z1mm_x350mm_y5mm_2025-09-08_14-23-55.971_015.png
