x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.35,0.0,0.005,True,1.0,0.005,2025-09-04 14:46:25.602,2025-09-04 14:46:31.227,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y0mm/raster_log_2025-09-04 14:46:23.587_z5mm_x350mm_y0mm_ocr.csv,10
0.35,0.02,0.005,True,1.0,0.02062,2025-09-04 14:46:31.232,2025-09-04 14:46:37.092,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y20mm/raster_log_2025-09-04 14:46:23.587_z5mm_x350mm_y20mm_ocr.csv,10
0.35,0.04,0.005,True,1.0,0.04031,2025-09-04 14:46:37.099,2025-09-04 14:46:42.962,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y40mm/raster_log_2025-09-04 14:46:23.587_z5mm_x350mm_y40mm_ocr.csv,10
0.35,0.06,0.005,True,1.0,0.06021,2025-09-04 14:46:42.967,2025-09-04 14:46:48.827,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y60mm/raster_log_2025-09-04 14:46:23.587_z5mm_x350mm_y60mm_ocr.csv,10
0.35,0.08,0.005,True,1.0,0.08016,2025-09-04 14:46:48.834,2025-09-04 14:46:54.694,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x350mm_y80mm/raster_log_2025-09-04 14:46:23.587_z5mm_x350mm_y80mm_ocr.csv,10
0.37,0.08,0.005,True,1.0,0.08261,2025-09-04 14:46:54.700,2025-09-04 14:47:00.561,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y80mm/raster_log_2025-09-04 14:46:23.587_z5mm_x370mm_y80mm_ocr.csv,10
0.37,0.06,0.005,True,1.0,0.06344,2025-09-04 14:47:00.566,2025-09-04 14:47:06.395,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y60mm/raster_log_2025-09-04 14:46:23.587_z5mm_x370mm_y60mm_ocr.csv,10
0.37,0.04,0.005,True,1.0,0.045,2025-09-04 14:47:06.402,2025-09-04 14:47:12.229,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y40mm/raster_log_2025-09-04 14:46:23.587_z5mm_x370mm_y40mm_ocr.csv,10
0.37,0.02,0.005,True,1.0,0.02872,2025-09-04 14:47:12.233,2025-09-04 14:47:18.061,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y20mm/raster_log_2025-09-04 14:46:23.587_z5mm_x370mm_y20mm_ocr.csv,10
0.37,0.0,0.005,True,1.0,0.02062,2025-09-04 14:47:18.066,2025-09-04 14:47:23.894,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x370mm_y0mm/raster_log_2025-09-04 14:46:23.587_z5mm_x370mm_y0mm_ocr.csv,10
0.38999999999999996,0.0,0.005,True,1.0,0.04031,2025-09-04 14:47:23.899,2025-09-04 14:47:29.761,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x390mm_y0mm/raster_log_2025-09-04 14:46:23.587_z5mm_x390mm_y0mm_ocr.csv,10
0.38999999999999996,0.02,0.005,True,1.0,0.045,2025-09-04 14:47:29.766,2025-09-04 14:47:35.594,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x390mm_y20mm/raster_log_2025-09-04 14:46:23.587_z5mm_x390mm_y20mm_ocr.csv,10
0.38999999999999996,0.04,0.005,True,1.0,0.05679,2025-09-04 14:47:35.598,2025-09-04 14:47:41.429,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x390mm_y40mm/raster_log_2025-09-04 14:46:23.587_z5mm_x390mm_y40mm_ocr.csv,10
0.38999999999999996,0.06,0.005,True,1.0,0.07228,2025-09-04 14:47:41.434,2025-09-04 14:47:47.260,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x390mm_y60mm/raster_log_2025-09-04 14:46:23.587_z5mm_x390mm_y60mm_ocr.csv,10
0.38999999999999996,0.08,0.005,True,1.0,0.08958,2025-09-04 14:47:47.265,2025-09-04 14:47:53.094,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x390mm_y80mm/raster_log_2025-09-04 14:46:23.587_z5mm_x390mm_y80mm_ocr.csv,10
0.41,0.08,0.005,True,1.0,0.10012,2025-09-04 14:47:53.104,2025-09-04 14:47:58.962,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x410mm_y80mm/raster_log_2025-09-04 14:46:23.587_z5mm_x410mm_y80mm_ocr.csv,10
0.41,0.06,0.005,True,1.0,0.085,2025-09-04 14:47:58.966,2025-09-04 14:48:04.796,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x410mm_y60mm/raster_log_2025-09-04 14:46:23.587_z5mm_x410mm_y60mm_ocr.csv,10
0.41,0.04,0.005,True,1.0,0.07228,2025-09-04 14:48:04.802,2025-09-04 14:48:10.626,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x410mm_y40mm/raster_log_2025-09-04 14:46:23.587_z5mm_x410mm_y40mm_ocr.csv,10
0.41,0.02,0.005,True,1.0,0.06344,2025-09-04 14:48:10.632,2025-09-04 14:48:16.462,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x410mm_y20mm/raster_log_2025-09-04 14:46:23.587_z5mm_x410mm_y20mm_ocr.csv,10
0.41,0.0,0.005,True,1.0,0.06021,2025-09-04 14:48:16.474,2025-09-04 14:48:22.294,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x410mm_y0mm/raster_log_2025-09-04 14:46:23.587_z5mm_x410mm_y0mm_ocr.csv,10
0.43,0.0,0.005,True,1.0,0.08016,2025-09-04 14:48:22.298,2025-09-04 14:48:28.160,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x430mm_y0mm/raster_log_2025-09-04 14:46:23.587_z5mm_x430mm_y0mm_ocr.csv,10
0.43,0.02,0.005,True,1.0,0.08261,2025-09-04 14:48:28.168,2025-09-04 14:48:33.995,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x430mm_y20mm/raster_log_2025-09-04 14:46:23.587_z5mm_x430mm_y20mm_ocr.csv,10
0.43,0.04,0.005,True,1.0,0.08958,2025-09-04 14:48:34.000,2025-09-04 14:48:39.826,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x430mm_y40mm/raster_log_2025-09-04 14:46:23.587_z5mm_x430mm_y40mm_ocr.csv,10
0.43,0.06,0.005,True,1.0,0.10012,2025-09-04 14:48:39.830,2025-09-04 14:48:45.662,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z5mm/x430mm_y60mm/raster_log_2025-09-04 14:46:23.587_z5mm_x430mm_y60mm_ocr.csv,10
