x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.08,True,1.0,0.08,2025-09-08 12:18:52.797,2025-09-08 12:19:02.206,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y0mm/raster_log_2025-09-08 12:07:13.406_z80mm_x350mm_y0mm_ocr.csv,16,"32, 73, 67, 56, 61, 58, 65, 67, 60, 57, 65, 61",60.17,12,"12:18:55, 12:18:55, 12:18:56, 12:18:56, 12:18:57, 12:18:57, 12:18:58, 12:18:58, 12:18:59, 12:18:59, 12:19:00, 12:19:00"
0.35,0.02,0.08,True,1.0,0.08246,2025-09-08 12:19:02.215,2025-09-08 12:19:11.042,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y20mm/raster_log_2025-09-08 12:07:13.406_z80mm_x350mm_y20mm_ocr.csv,16,"52, 59, 63, 49, 49, 51, 58, 62, 54, 57, 47, 47",54.00,12,"12:19:04, 12:19:04, 12:19:05, 12:19:05, 12:19:06, 12:19:06, 12:19:07, 12:19:07, 12:19:08, 12:19:08, 12:19:09, 12:19:09"
0.35,0.04,0.08,True,1.0,0.08944,2025-09-08 12:19:11.050,2025-09-08 12:19:19.875,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y40mm/raster_log_2025-09-08 12:07:13.406_z80mm_x350mm_y40mm_ocr.csv,16,"33, 14, 14, 17, 20, 19, 26, 22, 23, 417, 417, 15",86.42,12,"12:19:12, 12:19:13, 12:19:13, 12:19:14, 12:19:14, 12:19:15, 12:19:15, 12:19:16, 12:19:16, 12:19:17, 12:19:17, 12:19:18"
0.35,0.06,0.08,True,1.0,0.1,2025-09-08 12:19:19.880,2025-09-08 12:19:28.708,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y60mm/raster_log_2025-09-08 12:07:13.406_z80mm_x350mm_y60mm_ocr.csv,16,"8, 10, 10, 7, 4, 3, 3, 4, 4, 5, 4, 4",5.50,12,"12:19:21, 12:19:22, 12:19:22, 12:19:23, 12:19:23, 12:19:24, 12:19:24, 12:19:25, 12:19:25, 12:19:26, 12:19:26, 12:19:27"
0.35,0.08,0.08,True,1.0,0.11314,2025-09-08 12:19:28.714,2025-09-08 12:19:37.542,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x350mm_y80mm/raster_log_2025-09-08 12:07:13.406_z80mm_x350mm_y80mm_ocr.csv,16,"4, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1",0.58,12,"12:19:30, 12:19:31, 12:19:31, 12:19:32, 12:19:32, 12:19:33, 12:19:33, 12:19:34, 12:19:34, 12:19:35, 12:19:35, 12:19:36"
0.37,0.08,0.08,True,1.0,0.11489,2025-09-08 12:19:37.547,2025-09-08 12:19:46.475,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x370mm_y80mm/raster_log_2025-09-08 12:07:13.406_z80mm_x370mm_y80mm_ocr.csv,16,"0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0",0.25,12,"12:19:39, 12:19:40, 12:19:40, 12:19:41, 12:19:41, 12:19:42, 12:19:42, 12:19:43, 12:19:43, 12:19:44, 12:19:44, 12:19:45"
0.37,0.06,0.08,True,1.0,0.10198,2025-09-08 12:19:46.483,2025-09-08 12:19:55.308,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x370mm_y60mm/raster_log_2025-09-08 12:07:13.406_z80mm_x370mm_y60mm_ocr.csv,16,"1, 4, 5, 3, 3, 3, 3, 3, 3, 3, 4, 4",3.25,12,"12:19:48, 12:19:48, 12:19:49, 12:19:49, 12:19:50, 12:19:50, 12:19:51, 12:19:51, 12:19:52, 12:19:52, 12:19:53, 12:19:53"
0.37,0.04,0.08,True,1.0,0.09165,2025-09-08 12:19:55.314,2025-09-08 12:20:04.141,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x370mm_y40mm/raster_log_2025-09-08 12:07:13.406_z80mm_x370mm_y40mm_ocr.csv,16,"8, 11, 15, 10, 125, 15, 20, 18, 15, 13, 14, 12",23.00,12,"12:19:57, 12:19:57, 12:19:58, 12:19:58, 12:19:59, 12:19:59, 12:20:00, 12:20:00, 12:20:01, 12:20:01, 12:20:02, 12:20:02"
0.37,0.02,0.08,True,1.0,0.08485,2025-09-08 12:20:04.147,2025-09-08 12:20:12.975,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x370mm_y20mm/raster_log_2025-09-08 12:07:13.406_z80mm_x370mm_y20mm_ocr.csv,16,"40, 40, 295, 39, 27, 32, 41, 34, 32, 42, 31, 33",57.17,12,"12:20:06, 12:20:06, 12:20:07, 12:20:07, 12:20:08, 12:20:08, 12:20:09, 12:20:09, 12:20:10, 12:20:10, 12:20:11, 12:20:11"
0.37,0.0,0.08,True,1.0,0.08246,2025-09-08 12:20:12.980,2025-09-08 12:20:21.808,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x370mm_y0mm/raster_log_2025-09-08 12:07:13.406_z80mm_x370mm_y0mm_ocr.csv,16,"56, 53, 45, 43, 45, 45, 39, 54, 49, 44, 30, 32",44.58,12,"12:20:14, 12:20:15, 12:20:15, 12:20:16, 12:20:16, 12:20:17, 12:20:17, 12:20:18, 12:20:18, 12:20:19, 12:20:19, 12:20:20"
0.38999999999999996,0.0,0.08,True,1.0,0.08944,2025-09-08 12:20:21.814,2025-09-08 12:20:30.741,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x390mm_y0mm/raster_log_2025-09-08 12:07:13.406_z80mm_x390mm_y0mm_ocr.csv,16,"33, 18, 18, 19, 18, 417, 20, 22, 18, 22, 22, 26",54.42,12,"12:20:23, 12:20:24, 12:20:24, 12:20:25, 12:20:25, 12:20:26, 12:20:26, 12:20:27, 12:20:27, 12:20:28, 12:20:28, 12:20:29"
0.38999999999999996,0.02,0.08,True,1.0,0.09165,2025-09-08 12:20:30.746,2025-09-08 12:20:39.574,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x390mm_y20mm/raster_log_2025-09-08 12:07:13.406_z80mm_x390mm_y20mm_ocr.csv,16,"21, 21, 417, 125, 125, 417, 20, 21, 18, 9, 125, 19",111.50,12,"12:20:32, 12:20:33, 12:20:33, 12:20:34, 12:20:34, 12:20:35, 12:20:35, 12:20:36, 12:20:36, 12:20:37, 12:20:37, 12:20:38"
0.38999999999999996,0.04,0.08,True,1.0,0.09798,2025-09-08 12:20:39.578,2025-09-08 12:20:48.408,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x390mm_y40mm/raster_log_2025-09-08 12:07:13.406_z80mm_x390mm_y40mm_ocr.csv,16,"16, 8, 10, 10, 11, 4, 5, 6, 9, 7, 5, 4",7.92,12,"12:20:41, 12:20:41, 12:20:42, 12:20:42, 12:20:43, 12:20:43, 12:20:44, 12:20:44, 12:20:45, 12:20:45, 12:20:46, 12:20:46"
0.38999999999999996,0.06,0.08,True,1.0,0.1077,2025-09-08 12:20:48.418,2025-09-08 12:20:57.240,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x390mm_y60mm/raster_log_2025-09-08 12:07:13.406_z80mm_x390mm_y60mm_ocr.csv,16,"0, 0, 0, 0, 0, 2, 2, 0, 0, 3, 2, 1",0.83,12,"12:20:50, 12:20:50, 12:20:51, 12:20:51, 12:20:52, 12:20:52, 12:20:53, 12:20:53, 12:20:54, 12:20:54, 12:20:55, 12:20:55"
0.38999999999999996,0.08,0.08,True,1.0,0.12,2025-09-08 12:20:57.246,2025-09-08 12:21:06.073,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x390mm_y80mm/raster_log_2025-09-08 12:07:13.406_z80mm_x390mm_y80mm_ocr.csv,16,"0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0",0.25,12,"12:20:59, 12:20:59, 12:21:00, 12:21:00, 12:21:01, 12:21:01, 12:21:02, 12:21:02, 12:21:03, 12:21:03, 12:21:04, 12:21:04"
0.41,0.08,0.08,True,1.0,0.12806,2025-09-08 12:21:06.079,2025-09-08 12:21:15.008,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z80mm/x410mm_y80mm/raster_log_2025-09-08 12:07:13.406_z80mm_x410mm_y80mm_ocr.csv,16,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,12,"12:21:08, 12:21:08, 12:21:09, 12:21:09, 12:21:10, 12:21:10, 12:21:11, 12:21:11, 12:21:12, 12:21:12, 12:21:13, 12:21:13"
