x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures
0.35,0.0,0.05,True,1.0,0.05,2025-09-04 11:39:10.068,2025-09-04 11:39:21.339,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-04 11:39:08.010_z50mm_x350mm_y0mm_ocr.csv,18
0.35,0.02,0.05,True,1.0,0.05385,2025-09-04 11:39:21.345,2025-09-04 11:39:31.194,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y20mm/raster_log_2025-09-04 11:39:08.010_z50mm_x350mm_y20mm_ocr.csv,18
0.35,0.04,0.05,True,1.0,0.06403,2025-09-04 11:39:31.198,2025-09-04 11:39:41.061,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y40mm/raster_log_2025-09-04 11:39:08.010_z50mm_x350mm_y40mm_ocr.csv,18
0.35,0.06,0.05,True,1.0,0.0781,2025-09-04 11:39:41.067,2025-09-04 11:39:50.929,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y60mm/raster_log_2025-09-04 11:39:08.010_z50mm_x350mm_y60mm_ocr.csv,18
0.37,0.06,0.05,True,1.0,0.08062,2025-09-04 11:39:50.934,2025-09-04 11:40:00.796,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x370mm_y60mm/raster_log_2025-09-04 11:39:08.010_z50mm_x370mm_y60mm_ocr.csv,18
0.37,0.04,0.05,True,1.0,0.06708,2025-09-04 11:40:00.801,2025-09-04 11:40:10.629,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x370mm_y40mm/raster_log_2025-09-04 11:39:08.010_z50mm_x370mm_y40mm_ocr.csv,18
0.37,0.02,0.05,True,1.0,0.05745,2025-09-04 11:40:10.634,2025-09-04 11:40:20.461,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x370mm_y20mm/raster_log_2025-09-04 11:39:08.010_z50mm_x370mm_y20mm_ocr.csv,18
0.37,0.0,0.05,True,1.0,0.05385,2025-09-04 11:40:20.465,2025-09-04 11:40:30.295,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x370mm_y0mm/raster_log_2025-09-04 11:39:08.010_z50mm_x370mm_y0mm_ocr.csv,18
0.38999999999999996,0.0,0.05,True,1.0,0.06403,2025-09-04 11:40:30.300,2025-09-04 11:40:40.161,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x390mm_y0mm/raster_log_2025-09-04 11:39:08.010_z50mm_x390mm_y0mm_ocr.csv,18
0.38999999999999996,0.02,0.05,True,1.0,0.06708,2025-09-04 11:40:40.165,2025-09-04 11:40:49.996,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x390mm_y20mm/raster_log_2025-09-04 11:39:08.010_z50mm_x390mm_y20mm_ocr.csv,18
0.38999999999999996,0.04,0.05,True,1.0,0.0755,2025-09-04 11:40:50.001,2025-09-04 11:40:59.829,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x390mm_y40mm/raster_log_2025-09-04 11:39:08.010_z50mm_x390mm_y40mm_ocr.csv,18
0.38999999999999996,0.06,0.05,True,1.0,0.08775,2025-09-04 11:40:59.833,2025-09-04 11:41:09.662,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x390mm_y60mm/raster_log_2025-09-04 11:39:08.010_z50mm_x390mm_y60mm_ocr.csv,18
0.41,0.06,0.05,True,1.0,0.09849,2025-09-04 11:41:09.667,2025-09-04 11:41:19.529,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x410mm_y60mm/raster_log_2025-09-04 11:39:08.010_z50mm_x410mm_y60mm_ocr.csv,18
0.41,0.04,0.05,True,1.0,0.08775,2025-09-04 11:41:19.533,2025-09-04 11:41:29.362,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x410mm_y40mm/raster_log_2025-09-04 11:39:08.010_z50mm_x410mm_y40mm_ocr.csv,18
0.41,0.02,0.05,True,1.0,0.08062,2025-09-04 11:41:29.369,2025-09-04 11:41:39.195,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x410mm_y20mm/raster_log_2025-09-04 11:39:08.010_z50mm_x410mm_y20mm_ocr.csv,18
0.41,0.0,0.05,True,1.0,0.0781,2025-09-04 11:41:39.200,2025-09-04 11:41:49.029,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x410mm_y0mm/raster_log_2025-09-04 11:39:08.010_z50mm_x410mm_y0mm_ocr.csv,18
