x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.05,True,1.0,0.05,2025-09-04 11:39:10.068,2025-09-04 11:39:21.339,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-04 11:39:08.010_z50mm_x350mm_y0mm_ocr.csv,18,"114, 150, 149, 129, 127, 127, 133, 147, 142, 124, 154, 155, 150, 123",137.43,14,"11:39:13, 11:39:13, 11:39:14, 11:39:14, 11:39:15, 11:39:15, 11:39:16, 11:39:16, 11:39:17, 11:39:17, 11:39:18, 11:39:18, 11:39:19, 11:39:19"
0.35,0.02,0.05,True,1.0,0.05385,2025-09-04 11:39:21.345,2025-09-04 11:39:31.194,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y20mm/raster_log_2025-09-04 11:39:08.010_z50mm_x350mm_y20mm_ocr.csv,18,"112, 85, 82, 86, 79, 68, 84, 88, 1, 77, 80, 83, 94, 94",79.50,14,"11:39:23, 11:39:23, 11:39:24, 11:39:24, 11:39:25, 11:39:25, 11:39:26, 11:39:26, 11:39:27, 11:39:27, 11:39:28, 11:39:28, 11:39:29, 11:39:29"
0.35,0.04,0.05,True,1.0,0.06403,2025-09-04 11:39:31.198,2025-09-04 11:39:41.061,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y40mm/raster_log_2025-09-04 11:39:08.010_z50mm_x350mm_y40mm_ocr.csv,18,"18, 7, 3, 4, 4, 9, 7, 10, 10, 9, 4, 14, 10, 9",8.43,14,"11:39:33, 11:39:33, 11:39:34, 11:39:34, 11:39:35, 11:39:35, 11:39:36, 11:39:36, 11:39:37, 11:39:37, 11:39:38, 11:39:38, 11:39:39, 11:39:39"
0.35,0.06,0.05,True,1.0,0.0781,2025-09-04 11:39:41.067,2025-09-04 11:39:50.929,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y60mm/raster_log_2025-09-04 11:39:08.010_z50mm_x350mm_y60mm_ocr.csv,18,,,0,
0.37,0.06,0.05,True,1.0,0.08062,2025-09-04 11:39:50.934,2025-09-04 11:40:00.796,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x370mm_y60mm/raster_log_2025-09-04 11:39:08.010_z50mm_x370mm_y60mm_ocr.csv,18,,,0,
0.37,0.04,0.05,True,1.0,0.06708,2025-09-04 11:40:00.801,2025-09-04 11:40:10.629,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x370mm_y40mm/raster_log_2025-09-04 11:39:08.010_z50mm_x370mm_y40mm_ocr.csv,18,"2, 2, 2, 2, 3, 4, 2, 3, 3, 2, 2, 4, 3, 4",2.71,14,"11:40:02, 11:40:03, 11:40:03, 11:40:04, 11:40:04, 11:40:05, 11:40:05, 11:40:06, 11:40:06, 11:40:07, 11:40:07, 11:40:08, 11:40:08, 11:40:09"
0.37,0.02,0.05,True,1.0,0.05745,2025-09-04 11:40:10.634,2025-09-04 11:40:20.461,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x370mm_y20mm/raster_log_2025-09-04 11:39:08.010_z50mm_x370mm_y20mm_ocr.csv,18,"24, 35, 27, 32, 30, 33, 33, 28, 25, 33, 33, 39, 36, 32",31.43,14,"11:40:12, 11:40:13, 11:40:13, 11:40:14, 11:40:14, 11:40:15, 11:40:15, 11:40:16, 11:40:16, 11:40:17, 11:40:17, 11:40:18, 11:40:18, 11:40:19"
0.37,0.0,0.05,True,1.0,0.05385,2025-09-04 11:40:20.465,2025-09-04 11:40:30.295,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x370mm_y0mm/raster_log_2025-09-04 11:39:08.010_z50mm_x370mm_y0mm_ocr.csv,18,"69, 90, 90, 71, 63, 82, 56, 73, 68, 74, 90, 87, 75, 64",75.14,14,"11:40:22, 11:40:22, 11:40:23, 11:40:23, 11:40:24, 11:40:24, 11:40:25, 11:40:25, 11:40:26, 11:40:26, 11:40:27, 11:40:27, 11:40:28, 11:40:28"
0.38999999999999996,0.0,0.05,True,1.0,0.06403,2025-09-04 11:40:30.300,2025-09-04 11:40:40.161,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x390mm_y0mm/raster_log_2025-09-04 11:39:08.010_z50mm_x390mm_y0mm_ocr.csv,18,"40, 13, 4, 4, 4, 7, 7, 10, 5, 2",9.60,10,"11:40:32, 11:40:32, 11:40:33, 11:40:33, 11:40:34, 11:40:34, 11:40:35, 11:40:37, 11:40:37, 11:40:38"
0.38999999999999996,0.02,0.05,True,1.0,0.06708,2025-09-04 11:40:40.165,2025-09-04 11:40:49.996,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x390mm_y20mm/raster_log_2025-09-04 11:39:08.010_z50mm_x390mm_y20mm_ocr.csv,18,"7, 3, 2, 2, 2, 4, 4, 2, 3, 2, 5, 4, 2, 1",3.07,14,"11:40:42, 11:40:42, 11:40:43, 11:40:43, 11:40:44, 11:40:44, 11:40:45, 11:40:45, 11:40:46, 11:40:46, 11:40:47, 11:40:47, 11:40:48, 11:40:48"
0.38999999999999996,0.04,0.05,True,1.0,0.0755,2025-09-04 11:40:50.001,2025-09-04 11:40:59.829,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x390mm_y40mm/raster_log_2025-09-04 11:39:08.010_z50mm_x390mm_y40mm_ocr.csv,18,"4, 4, 4",4.00,3,"11:40:55, 11:40:56, 11:40:56"
0.38999999999999996,0.06,0.05,True,1.0,0.08775,2025-09-04 11:40:59.833,2025-09-04 11:41:09.662,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x390mm_y60mm/raster_log_2025-09-04 11:39:08.010_z50mm_x390mm_y60mm_ocr.csv,18,,,0,
0.41,0.06,0.05,True,1.0,0.09849,2025-09-04 11:41:09.667,2025-09-04 11:41:19.529,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x410mm_y60mm/raster_log_2025-09-04 11:39:08.010_z50mm_x410mm_y60mm_ocr.csv,18,"4, 4, 4",4.00,3,"11:41:15, 11:41:15, 11:41:16"
0.41,0.04,0.05,True,1.0,0.08775,2025-09-04 11:41:19.533,2025-09-04 11:41:29.362,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x410mm_y40mm/raster_log_2025-09-04 11:39:08.010_z50mm_x410mm_y40mm_ocr.csv,18,,,0,
0.41,0.02,0.05,True,1.0,0.08062,2025-09-04 11:41:29.369,2025-09-04 11:41:39.195,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x410mm_y20mm/raster_log_2025-09-04 11:39:08.010_z50mm_x410mm_y20mm_ocr.csv,18,4,4.00,1,11:41:37
0.41,0.0,0.05,True,1.0,0.0781,2025-09-04 11:41:39.200,2025-09-04 11:41:49.029,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x410mm_y0mm/raster_log_2025-09-04 11:39:08.010_z50mm_x410mm_y0mm_ocr.csv,18,,,0,
