x,y,z,reachable,fraction,radial_distance,time_start,time_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.35,0.0,0.05,True,1.0,0.05,2025-09-04 11:15:00.418,2025-09-04 11:15:11.589,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y0mm/raster_log_2025-09-04 11:14:58.361_z50mm_x350mm_y0mm_ocr.csv,18,"112, 137, 135, 137, 153, 153, 145, 152, 117, 117, 127, 116, 119, 131",132.21,14,"11:15:03, 11:15:04, 11:15:04, 11:15:05, 11:15:05, 11:15:06, 11:15:06, 11:15:07, 11:15:07, 11:15:08, 11:15:08, 11:15:09, 11:15:09, 11:15:10"
0.35,0.05,0.05,True,1.0,0.07071,2025-09-04 11:15:11.596,2025-09-04 11:15:21.519,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y50mm/raster_log_2025-09-04 11:14:58.361_z50mm_x350mm_y50mm_ocr.csv,18,"54, 2, 4, 4, 2, 4",11.67,6,"11:15:13, 11:15:14, 11:15:15, 11:15:16, 11:15:18, 11:15:18"
0.35,0.1,0.05,True,1.0,0.1118,2025-09-04 11:15:21.526,2025-09-04 11:15:31.445,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y100mm/raster_log_2025-09-04 11:14:58.361_z50mm_x350mm_y100mm_ocr.csv,18,"4, 4, 4",4.00,3,"11:15:24, 11:15:25, 11:15:25"
0.35,0.15000000000000002,0.05,True,1.0,0.15811,2025-09-04 11:15:31.453,2025-09-04 11:15:41.348,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x350mm_y150mm/raster_log_2025-09-04 11:14:58.361_z50mm_x350mm_y150mm_ocr.csv,18,,,0,
0.39999999999999997,0.15000000000000002,0.05,True,1.0,0.16583,2025-09-04 11:15:41.357,2025-09-04 11:15:51.318,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x400mm_y150mm/raster_log_2025-09-04 11:14:58.361_z50mm_x400mm_y150mm_ocr.csv,18,"4, 4, 4, 4, 4",4.00,5,"11:15:45, 11:15:46, 11:15:46, 11:15:47, 11:15:49"
0.39999999999999997,0.1,0.05,True,1.0,0.12247,2025-09-04 11:15:51.325,2025-09-04 11:16:01.178,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x400mm_y100mm/raster_log_2025-09-04 11:14:58.361_z50mm_x400mm_y100mm_ocr.csv,18,,,0,
0.39999999999999997,0.05,0.05,True,1.0,0.0866,2025-09-04 11:16:01.185,2025-09-04 11:16:11.044,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x400mm_y50mm/raster_log_2025-09-04 11:14:58.361_z50mm_x400mm_y50mm_ocr.csv,18,1,1.00,1,11:16:09
0.39999999999999997,0.0,0.05,True,1.0,0.07071,2025-09-04 11:16:11.052,2025-09-04 11:16:20.912,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x400mm_y0mm/raster_log_2025-09-04 11:14:58.361_z50mm_x400mm_y0mm_ocr.csv,18,"4, 4, 2, 2, 4, 4, 4",3.43,7,"11:16:13, 11:16:16, 11:16:16, 11:16:16, 11:16:17, 11:16:19, 11:16:19"
0.44999999999999996,0.0,0.05,True,1.0,0.1118,2025-09-04 11:16:20.921,2025-09-04 11:16:30.902,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x450mm_y0mm/raster_log_2025-09-04 11:14:58.361_z50mm_x450mm_y0mm_ocr.csv,18,"4, 4",4.00,2,"11:16:28, 11:16:29"
0.44999999999999996,0.05,0.05,True,1.0,0.12247,2025-09-04 11:16:30.910,2025-09-04 11:16:40.764,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x450mm_y50mm/raster_log_2025-09-04 11:14:58.361_z50mm_x450mm_y50mm_ocr.csv,18,,,0,
0.44999999999999996,0.1,0.05,True,1.0,0.15,2025-09-04 11:16:40.775,2025-09-04 11:16:50.757,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x450mm_y100mm/raster_log_2025-09-04 11:14:58.361_z50mm_x450mm_y100mm_ocr.csv,18,,,0,
0.44999999999999996,0.15000000000000002,0.05,True,1.0,0.18708,2025-09-04 11:16:50.772,2025-09-04 11:17:00.888,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x450mm_y150mm/raster_log_2025-09-04 11:14:58.361_z50mm_x450mm_y150mm_ocr.csv,18,,,0,
0.5,0.15000000000000002,0.05,True,1.0,0.21794,2025-09-04 11:17:00.905,2025-09-04 11:17:11.175,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x500mm_y150mm/raster_log_2025-09-04 11:14:58.361_z50mm_x500mm_y150mm_ocr.csv,18,,,0,
0.5,0.1,0.05,True,1.0,0.18708,2025-09-04 11:17:11.188,2025-09-04 11:17:21.231,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x500mm_y100mm/raster_log_2025-09-04 11:14:58.361_z50mm_x500mm_y100mm_ocr.csv,18,,,0,
0.5,0.05,0.05,True,1.0,0.16583,2025-09-04 11:17:21.240,2025-09-04 11:17:31.254,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x500mm_y50mm/raster_log_2025-09-04 11:14:58.361_z50mm_x500mm_y50mm_ocr.csv,18,,,0,
0.5,0.0,0.05,True,1.0,0.15811,2025-09-04 11:17:31.263,2025-09-04 11:17:41.274,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z50mm/x500mm_y0mm/raster_log_2025-09-04 11:14:58.361_z50mm_x500mm_y0mm_ocr.csv,18,,,0,
